battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,charge_energy_per_atom,charge_formation_energy_per_atom,charge_band_gap,charge_efermi,discharge_crystal_system,discharge_space_group_number,discharge_energy_per_atom,discharge_formation_energy_per_atom,discharge_band_gap,discharge_efermi
mp-753469_Li,Li0-3Co2NiO6,Li0Co2NiO6,Li3Co2NiO6,Co2NiO6,Li,2,0.050832811,0.014468099,"[InsertionVoltagePairDoc(max_delta_volume=0.03747332874365239, average_voltage=4.1424165883333375, capacity_grav=95.89177317082827, capacity_vol=434.8921132030031, energy_grav=397.2236718675367, energy_vol=1801.5043038674596, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='Co2NiO6', formula_discharge='LiCo2NiO6', stability_charge=0.05083281055554867, stability_discharge=0.040228656208332936, id_charge=MPID(mp-753469), id_discharge=MPID(mp-774305)), InsertionVoltagePairDoc(max_delta_volume=0.0051477673413919955, average_voltage=3.6609873883333295, capacity_grav=182.70880866065443, capacity_vol=874.2616732407571, energy_grav=668.8946442440632, energy_vol=3200.660959837606, fracA_charge=0.1, fracA_discharge=0.25, formula_charge='LiCo2NiO6', formula_discharge='Li3Co2NiO6', stability_charge=0.040228656208332936, stability_discharge=0.014468099166664139, id_charge=MPID(mp-774305), id_discharge=MPID(mp-765538))]",274.063213,1047.322644,1311.39251,5011.438989,3.821463788,mp-753469,mp-765538,Monoclinic,12,-6.464199842,-0.943695586,0.0,1.00103113,Monoclinic,12,-6.280746545,-1.663137637,0.0,3.73156197
mp-770575_Li,Li0-1CrPO4F,Li0CrPO4F,Li1CrPO4F,CrPO4F,Li,1,0.038836481,0.054330144,"[InsertionVoltagePairDoc(max_delta_volume=0.01766637007006011, average_voltage=4.377261550833329, capacity_grav=155.00530366080505, capacity_vol=420.7397227498103, energy_grav=678.4987558896867, energy_vol=1841.6878113010196, fracA_charge=0.0, fracA_discharge=0.125, formula_charge='CrPO4F', formula_discharge='LiCrPO4F', stability_charge=0.03883648053571154, stability_discharge=0.05433014421875004, id_charge=MPID(mp-770697), id_discharge=MPID(mp-770575))]",155.0053037,678.4987559,420.7397227,1841.687811,4.377261551,mp-770697,mp-770575,Orthorhombic,33,-7.717171863,-2.464361439,0.0,-0.17353483,Orthorhombic,33,-7.538298432,-2.703473953,2.2578,0.45453574
mp-6672_Ca,Ca2-3Fe2(SiO4)3,Ca2Fe2(SiO4)3,Ca3Fe2(SiO4)3,Fe2(SiO4)3,Ca,1,0.106580067,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.0031457895182125384, average_voltage=4.741086927500009, capacity_grav=105.48165810901081, capacity_vol=392.8143928821366, energy_grav=500.09771035165653, energy_vol=1862.3671830273504, fracA_charge=0.10526315789473684, fracA_discharge=0.15, formula_charge='Ca2Fe2(SiO4)3', formula_discharge='Ca3Fe2(SiO4)3', stability_charge=0.10658006706140633, stability_discharge=0.0, id_charge=MPID(mp-1251946), id_discharge=MPID(mp-6672))]",105.4816581,500.0977104,392.8143929,1862.367183,4.741086928,mp-1251946,mp-6672,Tetragonal,142,-7.759582615,-2.675230469,0.0,2.10403388,Cubic,230,-7.945992171,-3.015577638,2.3833,3.25305958
mp-1383115_Mg,Mg0-0.5NiS2,Mg0NiS2,Mg0.5NiS2,NiS2,Mg,1,0.043764472,0.168720209,"[InsertionVoltagePairDoc(max_delta_volume=0.12992851344682044, average_voltage=1.0392700874999976, capacity_grav=198.56493748412785, capacity_vol=742.5624510214601, energy_grav=206.3625999535611, energy_vol=771.7229434472855, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='NiS2', formula_discharge='Mg(NiS2)2', stability_charge=0.04376447166666697, stability_discharge=0.1687202092857163, id_charge=MPID(mp-1444811), id_discharge=MPID(mp-1775070))]",198.5649375,206.3626,742.562451,771.7229434,1.039270087,mp-1444811,mp-1775070,Cubic,227,-5.232739435,-0.548393964,0.0,4.99508878,Cubic,227,-5.010750976,-0.76698628,0.0,5.56379679
mp-568914_K,K0-2WCl6,K0WCl6,K2WCl6,WCl6,K,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.09972424864396534, average_voltage=3.0821357029999987, capacity_grav=112.90667281734137, capacity_vol=353.8697874696326, energy_grav=347.9936873972673, energy_vol=1090.6747061731762, fracA_charge=0.0, fracA_discharge=0.2222222222222222, formula_charge='WCl6', formula_discharge='K2WCl6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-571518), id_discharge=MPID(mp-568914))]",112.9066728,347.9936874,353.8697875,1090.674706,3.082135703,mp-571518,mp-568914,Trigonal,148,-4.815146081,-1.379525163,1.9169,-1.40576058,Cubic,225,-4.676787986,-1.757883061,0.0,1.61302037
mp-18939_Li,Li0-1Co(CO)4,Li0Co(CO)4,Li1Co(CO)4,Co(CO)4,Li,1,0.527027366,0.411339951,"[InsertionVoltagePairDoc(max_delta_volume=0.07544376296250843, average_voltage=3.327131083333332, capacity_grav=150.6423975242947, capacity_vol=249.7683029235687, energy_grav=501.20700327093704, energy_vol=831.011884288421, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='Co(CO)4', formula_discharge='LiCo(CO)4', stability_charge=0.5270273655555568, stability_discharge=0.41133995133333734, id_charge=MPID(mp-510741), id_discharge=MPID(mp-18939))]",150.6423975,501.2070033,249.7683029,831.0118843,3.327131083,mp-510741,mp-18939,Cubic,215,-7.786281834,-0.696583544,0.0,-1.83071716,Cubic,215,-7.531259046,-0.959638298,4.069,-1.55866789
mp-756506_Ca,Ca0-0.5V2NiO6,Ca0V2NiO6,Ca0.5V2NiO6,V2NiO6,Ca,1,0.0,0.171598889,"[InsertionVoltagePairDoc(max_delta_volume=0.024025056249691534, average_voltage=1.5847031449999944, capacity_grav=96.89203839230245, capacity_vol=347.6707316300367, energy_grav=153.5451179657419, energy_vol=550.9549018385682, fracA_charge=0.0, fracA_discharge=0.05263157894736842, formula_charge='V2NiO6', formula_discharge='CaV4(NiO6)2', stability_charge=0.0, stability_discharge=0.17159888929824074, id_charge=MPID(mp-756506), id_discharge=MPID(mp-1233711))]",96.89203839,153.545118,347.6707316,550.9549018,1.584703145,mp-756506,mp-1233711,Monoclinic,15,-8.062142117,-2.102618245,2.4342,-0.05622652,Triclinic,1,-7.910187594,-2.158764984,0.9981,2.24676462
mp-771674_Mg,Mg0-0.33Cr(SO4)2,Mg0Cr(SO4)2,Mg0.33Cr(SO4)2,Cr(SO4)2,Mg,1,0.064474647,0.218758923,"[InsertionVoltagePairDoc(max_delta_volume=0.005362514531375817, average_voltage=5.148793355, capacity_grav=70.84071023763207, capacity_vol=200.1351299540463, energy_grav=364.7441781350004, energy_vol=1030.454427209455, fracA_charge=0.0, fracA_discharge=0.029411764705882353, formula_charge='Cr(SO4)2', formula_discharge='MgCr3(SO4)6', stability_charge=0.06447464659090851, stability_discharge=0.2187589225735307, id_charge=MPID(mp-773001), id_discharge=MPID(mp-771674))]",70.84071024,364.7441781,200.13513,1030.454427,5.148793355,mp-773001,mp-771674,Trigonal,146,-7.007101947,-1.778953288,0.0,-0.13848232,Trigonal,146,-7.150947971,-2.02950133,0.1769,0.1803836
mp-763178_Li,Li0-4Ti3Ni3(TeO8)2,Li0Ti3Ni3(TeO8)2,Li4Ti3Ni3(TeO8)2,Ti3Ni3(TeO8)2,Li,1,0.109018999,0.031313516,"[InsertionVoltagePairDoc(max_delta_volume=0.0962181660175867, average_voltage=3.8811237945833357, capacity_grav=124.85613755294513, capacity_vol=573.066608362739, energy_grav=484.5821263565053, energy_vol=2224.142449597796, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='Ti3Ni3(TeO8)2', formula_discharge='Li4Ti3Ni3(TeO8)2', stability_charge=0.10901899895833544, stability_discharge=0.0313135156696438, id_charge=MPID(mp-771243), id_discharge=MPID(mp-763178))]",124.8561376,484.5821264,573.0666084,2224.14245,3.881123795,mp-771243,mp-763178,Monoclinic,8,-7.291507988,-2.021471987,0.0,2.9690045,Monoclinic,8,-7.077013513,-2.287136531,1.3917,3.92350073
mp-553248_Cs,Cs0-1LaNb2O7,Cs0LaNb2O7,Cs1LaNb2O7,LaNb2O7,Cs,1,0.210991644,0.033167479,"[InsertionVoltagePairDoc(max_delta_volume=0.09340724786730736, average_voltage=5.298174927931036, capacity_grav=47.051552829559014, capacity_vol=247.68994435379858, energy_grav=249.2873575217922, energy_vol=1312.3046530759293, fracA_charge=0.0, fracA_discharge=0.09090909090909091, formula_charge='LaNb2O7', formula_discharge='CsLaNb2O7', stability_charge=0.21099164414285454, stability_discharge=0.0331674789772709, id_charge=MPID(mp-726245), id_discharge=MPID(mp-553248))]",47.05155283,249.2873575,247.6899444,1312.304653,5.298174928,mp-726245,mp-553248,Tetragonal,123,-8.96313833,-2.985703908,0.0,0.60958938,Tetragonal,123,-8.711360055,-3.195928546,1.4414,2.43994709
mp-1345463_Al,Al0-1CrO3,Al0CrO3,Al1CrO3,CrO3,Al,1,0.202776377,0.176285461,"[InsertionVoltagePairDoc(max_delta_volume=0.018873665798643247, average_voltage=2.727672965833333, capacity_grav=633.2263233904066, capacity_vol=2795.822692763278, energy_grav=1727.2343235660476, energy_vol=7626.089976313746, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='CrO3', formula_discharge='AlCrO3', stability_charge=0.20277637700000017, stability_discharge=0.1762854609999991, id_charge=MPID(mp-1389926), id_discharge=MPID(mp-1345463))]",633.2263234,1727.234324,2795.822693,7626.089976,2.727672966,mp-1389926,mp-1345463,Monoclinic,4,-7.478832806,-1.354600185,1.3264,0.27454637,Orthorhombic,62,-8.368785191,-2.720283928,1.8029,5.93868915
