battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-1041693_Y,Y0-1Cr(WO4)2,Y0Cr(WO4)2,Y1Cr(WO4)2,Cr(WO4)2,Y,1,0.149560149,0.066685344,"[InsertionVoltagePairDoc(max_delta_volume=0.10264491386662011, average_voltage=2.9185619088888877, capacity_grav=126.3074608255915, capacity_vol=900.3481192876574, energy_grav=368.6361439740467, energy_vol=2627.721725692705, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='Cr(WO4)2', formula_discharge='YCr(WO4)2', stability_charge=0.14956014909091664, stability_discharge=0.06668534406249904, id_charge=MPID(mp-1041693), id_discharge=MPID(mp-1042879))]",126.3074608,368.636144,900.3481193,2627.721726,2.918561909,mp-1041693,mp-1042879,Monoclinic,13,Monoclinic,13
mp-568638_Y,Y2.33-3CuSiSe7,Y2.33CuSiSe7,Y3CuSiSe7,CuSiSe7,Y,2,0.116876802,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.017851821792642886, average_voltage=2.222853962222231, capacity_grav=30.406687557159845, capacity_vol=159.53602401258314, energy_grav=67.58962591448618, energy_vol=354.62528309355145, fracA_charge=0.20588235294117646, fracA_discharge=0.22857142857142856, formula_charge='Y7Cu3(SiSe7)3', formula_discharge='Y8Cu3(SiSe7)3', stability_charge=0.11687680198528838, stability_discharge=0.058312426999997946, id_charge=MPID(mp-1265521), id_discharge=MPID(mp-1259975)), InsertionVoltagePairDoc(max_delta_volume=0.005965842412645195, average_voltage=2.1842202205555603, capacity_grav=29.417617847257468, capacity_vol=158.58990165109603, energy_grav=64.2545557425559, energy_vol=346.39526996224157, fracA_charge=0.22857142857142856, fracA_discharge=0.25, formula_charge='Y8Cu3(SiSe7)3', formula_discharge='Y3CuSiSe7', stability_charge=0.058312426999997946, stability_discharge=0.0, id_charge=MPID(mp-1259975), id_discharge=MPID(mp-568638))]",58.83523569,129.6456241,317.1798033,698.9174612,2.203537091,mp-1265521,mp-568638,Triclinic,1,Hexagonal,173
mp-1045656_Y,Y0-1Cu3(SnO3)4,Y0Cu3(SnO3)4,Y1Cu3(SnO3)4,Cu3(SnO3)4,Y,1,0.052015889,0.122607747,"[InsertionVoltagePairDoc(max_delta_volume=0.036458139784035115, average_voltage=2.4911599188888807, capacity_grav=84.96029930164875, capacity_vol=564.8673020115311, energy_grav=211.6496923170703, energy_vol=1407.1747822620268, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Cu3(SnO3)4', formula_discharge='YCu3(SnO3)4', stability_charge=0.052015888750002404, stability_discharge=0.1226077469999991, id_charge=MPID(mp-1375641), id_discharge=MPID(mp-1045656))]",84.9602993,211.6496923,564.867302,1407.174782,2.491159919,mp-1375641,mp-1045656,Cubic,204,Cubic,204
mp-1363993_Y,Y0-0.67SiNiO4,Y0SiNiO4,Y0.67SiNiO4,SiNiO4,Y,1,0.527932646,0.266932725,"[InsertionVoltagePairDoc(max_delta_volume=0.19530549284531884, average_voltage=4.16085171972222, capacity_grav=255.1950052975164, capacity_vol=1151.9721725554891, energy_grav=1061.8285766566921, energy_vol=4793.1853952496485, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='SiNiO4', formula_discharge='Y2Si3(NiO4)3', stability_charge=0.5279326462499991, stability_discharge=0.26693272529166556, id_charge=MPID(mp-1364379), id_discharge=MPID(mp-1363993))]",255.1950053,1061.828577,1151.972173,4793.185395,4.16085172,mp-1364379,mp-1363993,Cubic,230,Cubic,230
mp-1041627_Y,Y0-1Re(WO4)2,Y0Re(WO4)2,Y1Re(WO4)2,Re(WO4)2,Y,1,0.394490182,0.283486706,"[InsertionVoltagePairDoc(max_delta_volume=0.003667019561818474, average_voltage=2.396634955555553, capacity_grav=104.31459521990732, capacity_vol=828.5712757407496, energy_grav=250.00400527865807, energy_vol=1985.7828826095392, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='Re(WO4)2', formula_discharge='YRe(WO4)2', stability_charge=0.3944901815384547, stability_discharge=0.28348670586805547, id_charge=MPID(mp-1780696), id_discharge=MPID(mp-1041627))]",104.3145952,250.0040053,828.5712757,1985.782883,2.396634956,mp-1780696,mp-1041627,Triclinic,2,Triclinic,2
mp-504110_Y,Y0-0.5WO2,Y0WO2,Y0.5WO2,WO2,Y,1,0.487485004,0.613987672,"[InsertionVoltagePairDoc(max_delta_volume=0.07555974347517447, average_voltage=1.418589473888889, capacity_grav=154.45063310424425, capacity_vol=1314.7030928439433, energy_grav=219.10204235715565, energy_vol=1865.0239687975845, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='WO2', formula_discharge='Y(WO2)2', stability_charge=0.4874850041666665, stability_discharge=0.6139876719642814, id_charge=MPID(mp-504110), id_discharge=MPID(mp-1398091))]",154.4506331,219.1020424,1314.703093,1865.023969,1.418589474,mp-504110,mp-1398091,Cubic,227,Trigonal,166
mp-18725_Y,Y0-1CrO3,Y0CrO3,Y1CrO3,CrO3,Y,1,0.202776377,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.22095334396721333, average_voltage=3.526427633055554, capacity_grav=425.6452069312368, capacity_vol=2333.0867882657185, energy_grav=1501.007019599963, energy_vol=8227.461720457062, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='CrO3', formula_discharge='YCrO3', stability_charge=0.20277637700000017, stability_discharge=0.0, id_charge=MPID(mp-1389926), id_discharge=MPID(mp-18725))]",425.6452069,1501.00702,2333.086788,8227.46172,3.526427633,mp-1389926,mp-18725,Monoclinic,4,Orthorhombic,62
mp-1157336_Y,Y0-0.67CoSiO4,Y0CoSiO4,Y0.67CoSiO4,CoSiO4,Y,1,0.519128298,0.18678004,"[InsertionVoltagePairDoc(max_delta_volume=0.2564305206884252, average_voltage=4.077819350138884, capacity_grav=254.90400049669196, capacity_vol=1155.9130676676164, energy_grav=1039.4524656532221, energy_vol=4713.604674413403, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='CoSiO4', formula_discharge='Y2Co3(SiO4)3', stability_charge=0.5191282977777698, stability_discharge=0.1867800404166804, id_charge=MPID(mp-1172361), id_discharge=MPID(mp-1157336))]",254.9040005,1039.452466,1155.913068,4713.604674,4.07781935,mp-1172361,mp-1157336,Cubic,230,Cubic,230
mp-1154524_Y,Y0-0.67MnSiO4,Y0MnSiO4,Y0.67MnSiO4,MnSiO4,Y,1,0.491771903,0.115227151,"[InsertionVoltagePairDoc(max_delta_volume=0.24715105295013706, average_voltage=3.9218315713888883, capacity_grav=259.84060075734556, capacity_vol=1107.186067011514, energy_grav=1019.0510715788133, energy_vol=4342.1972730076495, fracA_charge=0.0, fracA_discharge=0.1, formula_charge='MnSiO4', formula_discharge='Y2Mn3(SiO4)3', stability_charge=0.4917719027777778, stability_discharge=0.11522715133332895, id_charge=MPID(mp-1249486), id_discharge=MPID(mp-1154524))]",259.8406008,1019.051072,1107.186067,4342.197273,3.921831571,mp-1249486,mp-1154524,Cubic,230,Cubic,230
mp-1330336_Y,Y0-1WO3,Y0WO3,Y1WO3,WO3,Y,1,1.212342685,0.389379679,"[InsertionVoltagePairDoc(max_delta_volume=0.1544338699359562, average_voltage=2.9851479511111108, capacity_grav=250.68101321315757, capacity_vol=1895.741306102884, energy_grav=748.3199129757146, energy_vol=5659.068275749725, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='WO3', formula_discharge='YWO3', stability_charge=1.212342685416668, stability_discharge=0.3893796792500108, id_charge=MPID(mp-1330336), id_discharge=MPID(mp-1375712))]",250.6810132,748.319913,1895.741306,5659.068276,2.985147951,mp-1330336,mp-1375712,Hexagonal,185,Hexagonal,185
mp-1330490_Y,Y0-1CrO3,Y0CrO3,Y1CrO3,CrO3,Y,1,0.785474695,0.157926261,"[InsertionVoltagePairDoc(max_delta_volume=0.23618735752521092, average_voltage=4.0401482883333335, capacity_grav=425.64520693123677, capacity_vol=2078.2967113154937, energy_grav=1719.6697542205238, energy_vol=8396.626900870087, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='CrO3', formula_discharge='YCrO3', stability_charge=0.7854746949166671, stability_discharge=0.15792626116666675, id_charge=MPID(mp-1330490), id_discharge=MPID(mp-1336975))]",425.6452069,1719.669754,2078.296711,8396.626901,4.040148288,mp-1330490,mp-1336975,Hexagonal,185,Hexagonal,185
mp-998866_Y,Y0-1C,Y0C,Y1C,C,Y,1,2.75478799,0.888511522,"[InsertionVoltagePairDoc(max_delta_volume=4.371499220196904, average_voltage=0.5370785855555557, capacity_grav=796.7418965084684, capacity_vol=4436.706814913883, energy_grav=427.9130108296191, energy_vol=2382.8602206786427, fracA_charge=0.0, fracA_discharge=0.5, formula_charge='C', formula_discharge='YC', stability_charge=2.7547879900000005, stability_discharge=0.8885115224999991, id_charge=MPID(mp-998866), id_discharge=MPID(mp-998896))]",796.7418965,427.9130108,4436.706815,2382.860221,0.537078586,mp-998866,mp-998896,Cubic,221,Cubic,221
mp-1042613_Y,Y0-1W3O8,Y0W3O8,Y1W3O8,W3O8,Y,1,0.087736111,0.072721072,"[InsertionVoltagePairDoc(max_delta_volume=0.08656375500572056, average_voltage=2.184471317222221, capacity_grav=104.63591989846151, capacity_vol=858.6984366773628, energy_grav=228.57416576935103, energy_vol=1875.8021050652608, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='W3O8', formula_discharge='YW3O8', stability_charge=0.08773611125874048, stability_discharge=0.0727210719791671, id_charge=MPID(mp-1042656), id_discharge=MPID(mp-1042613))]",104.6359199,228.5741658,858.6984367,1875.802105,2.184471317,mp-1042656,mp-1042613,Monoclinic,13,Monoclinic,13
mp-540003_Y,Y0-0.5FeO2,Y0FeO2,Y0.5FeO2,FeO2,Y,1,0.258179856,0.200501742,"[InsertionVoltagePairDoc(max_delta_volume=0.21804507974295295, average_voltage=2.922725842222223, capacity_grav=303.87919064546645, capacity_vol=1485.8826303371409, energy_grav=888.1555634130783, energy_vol=4342.827562195492, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='FeO2', formula_discharge='Y(FeO2)2', stability_charge=0.2581798558333306, stability_discharge=0.20050174205356974, id_charge=MPID(mp-1395285), id_discharge=MPID(mp-1408959))]",303.8791906,888.1555634,1485.88263,4342.827562,2.922725842,mp-1395285,mp-1408959,Orthorhombic,74,Cubic,227
mp-25428_Y,Y0-0.5NiO2,Y0NiO2,Y0.5NiO2,NiO2,Y,1,0.140188005,0.131775636,"[InsertionVoltagePairDoc(max_delta_volume=0.350272501664882, average_voltage=3.2809585538888895, capacity_grav=297.4744499148293, capacity_vol=1579.1622913477402, energy_grav=976.0013410114511, energy_vol=5181.166027776147, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='NiO2', formula_discharge='Y(NiO2)2', stability_charge=0.14018800527777664, stability_discharge=0.13177563562500794, id_charge=MPID(mp-25428), id_discharge=MPID(mp-1398595))]",297.4744499,976.001341,1579.162291,5181.166028,3.280958554,mp-25428,mp-1398595,Cubic,227,Cubic,227
mp-1041783_Y,Y0-1Ni(WO4)2,Y0Ni(WO4)2,Y1Ni(WO4)2,Ni(WO4)2,Y,1,0.214559141,0.115989904,"[InsertionVoltagePairDoc(max_delta_volume=0.09668156835463027, average_voltage=3.358635570555556, capacity_grav=124.99244052999724, capacity_vol=858.0705988681241, energy_grav=419.8040568145987, energy_vol=2881.94643540639, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='Ni(WO4)2', formula_discharge='YNi(WO4)2', stability_charge=0.21455914090909012, stability_discharge=0.11598990447916968, id_charge=MPID(mp-1042304), id_discharge=MPID(mp-1041783))]",124.9924405,419.8040568,858.0705989,2881.946435,3.358635571,mp-1042304,mp-1041783,Monoclinic,13,Monoclinic,13
mp-17192_Y,Y0.33-1Cu(WO4)2,Y0.33Cu(WO4)2,Y1Cu(WO4)2,Cu(WO4)2,Y,2,0.155709885,0.032835038,"[InsertionVoltagePairDoc(max_delta_volume=0.0418867714204223, average_voltage=4.205351802222213, capacity_grav=43.33361022703545, capacity_vol=295.34679034805606, energy_grav=182.23307586505848, energy_vol=1242.0371570707437, fracA_charge=0.029411764705882353, fracA_discharge=0.05714285714285714, formula_charge='YCu3(WO4)6', formula_discharge='Y2Cu3(WO4)6', stability_charge=0.15570988533613672, stability_discharge=0.070677774214289, id_charge=MPID(mp-1329989), id_discharge=MPID(mp-1330191)), InsertionVoltagePairDoc(max_delta_volume=0.029341451087809833, average_voltage=2.9859907055555532, capacity_grav=41.352202697548115, capacity_vol=286.92790913640283, energy_grav=123.47729290912795, energy_vol=856.7640698457872, fracA_charge=0.05714285714285714, fracA_discharge=0.08333333333333333, formula_charge='Y2Cu3(WO4)6', formula_discharge='YCu(WO4)2', stability_charge=0.070677774214289, stability_discharge=0.03283503781249841, id_charge=MPID(mp-1330191), id_discharge=MPID(mp-17192))]",82.7044054,297.377853,573.8558183,2063.39687,3.595671254,mp-1329989,mp-17192,Monoclinic,13,Monoclinic,13
mp-1369275_Y,Y0-1MoO3,Y0MoO3,Y1MoO3,MoO3,Y,1,0.958250998,0.168701306,"[InsertionVoltagePairDoc(max_delta_volume=0.18948762808445818, average_voltage=3.2900749344444455, capacity_grav=345.3145718608299, capacity_vol=1867.4807630882174, energy_grav=1136.1108173777318, energy_vol=6144.15164919373, fracA_charge=0.0, fracA_discharge=0.2, formula_charge='MoO3', formula_discharge='YMoO3', stability_charge=0.9582509982291665, stability_discharge=0.16870130584375254, id_charge=MPID(mp-1369275), id_discharge=MPID(mp-1371109))]",345.3145719,1136.110817,1867.480763,6144.151649,3.290074934,mp-1369275,mp-1371109,Hexagonal,185,Hexagonal,185
mp-1045778_Y,Y0-1V4(CuO4)3,Y0V4(CuO4)3,Y1V4(CuO4)3,V4(CuO4)3,Y,1,0.069858535,0.060670031,"[InsertionVoltagePairDoc(max_delta_volume=0.05341584028621038, average_voltage=2.907673128888881, capacity_grav=119.064309071039, capacity_vol=655.5927567165124, energy_grav=346.20009209558077, energy_vol=1906.2494421987885, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='V4(CuO4)3', formula_discharge='YV4(CuO4)3', stability_charge=0.06985853499999273, stability_discharge=0.060670031000007896, id_charge=MPID(mp-1367462), id_discharge=MPID(mp-1045778))]",119.0643091,346.2000921,655.5927567,1906.249442,2.907673129,mp-1367462,mp-1045778,Cubic,204,Trigonal,148
mp-1041534_Y,Y0-1Mo(WO4)2,Y0Mo(WO4)2,Y1Mo(WO4)2,Mo(WO4)2,Y,1,0.096651677,0.013480791,"[InsertionVoltagePairDoc(max_delta_volume=0.09673072972648056, average_voltage=2.4595232888888865, capacity_grav=118.1512951525771, capacity_vol=856.5254455658375, energy_grav=290.595862040148, energy_vol=2106.6442808951074, fracA_charge=0.0, fracA_discharge=0.08333333333333333, formula_charge='Mo(WO4)2', formula_discharge='YMo(WO4)2', stability_charge=0.09665167659090734, stability_discharge=0.013480790937499876, id_charge=MPID(mp-1041534), id_discharge=MPID(mp-1042328))]",118.1512952,290.595862,856.5254456,2106.644281,2.459523289,mp-1041534,mp-1042328,Monoclinic,13,Monoclinic,13
mp-1043303_Y,Y0-1Fe4(CuO4)3,Y0Fe4(CuO4)3,Y1Fe4(CuO4)3,Fe4(CuO4)3,Y,1,0.083163129,0.017516361,"[InsertionVoltagePairDoc(max_delta_volume=0.03807112532994861, average_voltage=3.8583619722222195, capacity_grav=115.70372279336188, capacity_vol=647.1325795689057, energy_grav=446.4268440704487, energy_vol=2496.8717359947354, fracA_charge=0.0, fracA_discharge=0.05, formula_charge='Fe4(CuO4)3', formula_discharge='YFe4(CuO4)3', stability_charge=0.0831631285197334, stability_discharge=0.017516360900004635, id_charge=MPID(mp-1043303), id_discharge=MPID(mp-1045770))]",115.7037228,446.4268441,647.1325796,2496.871736,3.858361972,mp-1043303,mp-1045770,Cubic,204,Cubic,204
mp-25262_Y,Y0-0.5TiO2,Y0TiO2,Y0.5TiO2,TiO2,Y,1,0.17880552,0.21299046,"[InsertionVoltagePairDoc(max_delta_volume=0.14217332106363934, average_voltage=0.9114425405555553, capacity_grav=323.38026084200783, capacity_vol=1556.3759766358169, energy_grav=294.74252650735775, energy_vol=1418.5472742045824, fracA_charge=0.0, fracA_discharge=0.14285714285714285, formula_charge='TiO2', formula_discharge='YTi2O4', stability_charge=0.17880551999999916, stability_discharge=0.21299046017855616, id_charge=MPID(mp-25262), id_discharge=MPID(mp-1045424))]",323.3802608,294.7425265,1556.375977,1418.547274,0.911442541,mp-25262,mp-1045424,Cubic,227,Orthorhombic,74
