battery_id,battery_formula,formula_charge,formula_discharge,framework_formula,working_ion,num_steps,stability_charge,stability_discharge,adj_pairs,capacity_grav,energy_grav,capacity_vol,energy_vol,average_voltage,id_charge,id_discharge,charge_crystal_system,charge_space_group_number,discharge_crystal_system,discharge_space_group_number
mp-1111145_K,K2-3CoF6,K2CoF6,K3CoF6,CoF6,K,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.19279745972276752, average_voltage=4.647320952999998, capacity_grav=92.34931554674706, capacity_vol=255.03379493127653, energy_grav=429.1769091356061, energy_vol=1185.223898907226, fracA_charge=0.2222222222222222, fracA_discharge=0.3, formula_charge='K2CoF6', formula_discharge='K3CoF6', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-1206883), id_discharge=MPID(mp-1111145))]",92.34931555,429.1769091,255.0337949,1185.223899,4.647320953,mp-1206883,mp-1111145,Cubic,225,Cubic,225
mp-29784_K,K1.75-2Mo9S11,K1.75Mo9S11,K2Mo9S11,Mo9S11,K,1,0.029487707,0.021014188,"[InsertionVoltagePairDoc(max_delta_volume=0.008663206818744884, average_voltage=2.404092688000013, capacity_grav=5.176543031646378, capacity_vol=24.079069859961976, energy_grav=12.444889251498475, energy_vol=57.88831578417608, fracA_charge=0.08045977011494253, fracA_discharge=0.09090909090909091, formula_charge='K7(Mo9S11)4', formula_discharge='K2Mo9S11', stability_charge=0.029487706954021142, stability_discharge=0.02101418840910174, id_charge=MPID(mp-685514), id_discharge=MPID(mp-29784))]",5.176543032,12.44488925,24.07906986,57.88831578,2.404092688,mp-685514,mp-29784,Monoclinic,7,Trigonal,167
mp-25275_K,K0-1MnO2,K0MnO2,K1MnO2,MnO2,K,1,0.032933879,0.151309314,"[InsertionVoltagePairDoc(max_delta_volume=0.5825497453136581, average_voltage=1.881177223000002, capacity_grav=212.65085342159037, capacity_vol=804.0992957553939, energy_grav=400.03394190820785, energy_vol=1512.6532802053891, fracA_charge=0.0, fracA_discharge=0.25, formula_charge='MnO2', formula_discharge='KMnO2', stability_charge=0.032933879166668234, stability_discharge=0.15130931354166766, id_charge=MPID(mp-25275), id_discharge=MPID(mp-1003854))]",212.6508534,400.0339419,804.0992958,1512.65328,1.881177223,mp-25275,mp-1003854,Cubic,227,Tetragonal,119
mp-540536_K,K0-1Mo2P3O13,K0Mo2P3O13,K1Mo2P3O13,Mo2P3O13,K,1,0.009285517,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.026462769080860093, average_voltage=4.352703557999995, capacity_grav=50.38897356719829, capacity_vol=155.8419028674133, energy_grav=219.32826452991168, energy_vol=678.3336050964795, fracA_charge=0.0, fracA_discharge=0.05263157894736842, formula_charge='Mo2P3O13', formula_discharge='KMo2P3O13', stability_charge=0.009285516805556782, stability_discharge=0.0, id_charge=MPID(mp-540536), id_discharge=MPID(mp-558283))]",50.38897357,219.3282645,155.8419029,678.3336051,4.352703558,mp-540536,mp-558283,Monoclinic,9,Monoclinic,15
mp-754510_K,K2-3NiPCO7,K2NiPCO7,K3NiPCO7,NiPCO7,K,1,0.023596074,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.00833144601842184, average_voltage=3.9257820730000006, capacity_grav=80.97893341713794, capacity_vol=240.64703331198274, energy_grav=317.9056450996608, energy_vol=944.7278092968158, fracA_charge=0.16666666666666666, fracA_discharge=0.23076923076923078, formula_charge='K2NiPCO7', formula_discharge='K3NiPCO7', stability_charge=0.02359607437499811, stability_discharge=0.0, id_charge=MPID(mp-773431), id_discharge=MPID(mp-754510))]",80.97893342,317.9056451,240.6470333,944.7278093,3.925782073,mp-773431,mp-754510,Monoclinic,11,Monoclinic,11
mp-554269_K,K0-3P(W3O10)4,K0P(W3O10)4,K3P(W3O10)4,P(W3O10)4,K,1,0.124143619,0.026169351,"[InsertionVoltagePairDoc(max_delta_volume=0.0695319059069961, average_voltage=5.784453109666669, capacity_grav=26.852279733216076, capacity_vol=154.67832561475632, energy_grav=155.325753004441, energy_vol=894.7295216003107, fracA_charge=0.0, fracA_discharge=0.05357142857142857, formula_charge='P(W3O10)4', formula_discharge='K3P(W3O10)4', stability_charge=0.12414361898585291, stability_discharge=0.02616935118303587, id_charge=MPID(mp-728875), id_discharge=MPID(mp-554269))]",26.85227973,155.325753,154.6783256,894.7295216,5.78445311,mp-728875,mp-554269,Cubic,224,Cubic,224
mp-559251_K,K0-3Cr2(PS4)3,K0Cr2(PS4)3,K3Cr2(PS4)3,Cr2(PS4)3,K,1,0.102796291,0.033335918,"[InsertionVoltagePairDoc(max_delta_volume=0.1345673221286714, average_voltage=3.144184157999999, capacity_grav=115.02972731236721, capacity_vol=237.11007707272614, energy_grav=361.6746463146048, energy_vol=745.5177480342243, fracA_charge=0.0, fracA_discharge=0.15, formula_charge='Cr2(PS4)3', formula_discharge='K3Cr2(PS4)3', stability_charge=0.10279629097059395, stability_discharge=0.033335918075001914, id_charge=MPID(mp-778446), id_discharge=MPID(mp-559251))]",115.0297273,361.6746463,237.1100771,745.517748,3.144184158,mp-778446,mp-559251,Monoclinic,14,Monoclinic,14
mp-1220017_K,K0-1NdNb4O12,K0NdNb4O12,K1NdNb4O12,NdNb4O12,K,1,0.077044856,0.085983045,"[InsertionVoltagePairDoc(max_delta_volume=0.021665066978593384, average_voltage=3.767389623000007, capacity_grav=35.88081110217845, capacity_vol=175.6195497049874, energy_grav=135.1769954111705, energy_vol=661.6272691545034, fracA_charge=0.0, fracA_discharge=0.05555555555555555, formula_charge='NdNb4O12', formula_discharge='KNdNb4O12', stability_charge=0.07704485613445122, stability_discharge=0.08598304499999365, id_charge=MPID(mp-1220017), id_discharge=MPID(mp-1518765))]",35.8808111,135.1769954,175.6195497,661.6272692,3.767389623,mp-1220017,mp-1518765,Orthorhombic,38,Orthorhombic,38
mp-799_K,K0-0.5V3S4,K0V3S4,K0.5V3S4,V3S4,K,1,0.0,0.0,"[InsertionVoltagePairDoc(max_delta_volume=0.02758892027624893, average_voltage=1.328295982999997, capacity_grav=44.574985443851496, capacity_vol=186.0723194775385, energy_grav=59.20877410735128, energy_vol=247.1591145095065, fracA_charge=0.0, fracA_discharge=0.06666666666666667, formula_charge='V3S4', formula_discharge='K(V3S4)2', stability_charge=0.0, stability_discharge=0.0, id_charge=MPID(mp-799), id_discharge=MPID(mp-1224064))]",44.57498544,59.20877411,186.0723195,247.1591145,1.328295983,mp-799,mp-1224064,Hexagonal,176,Trigonal,147
mp-7938_K,K0-1NbS2,K0NbS2,K1NbS2,NbS2,K,1,0.0,0.008581754,"[InsertionVoltagePairDoc(max_delta_volume=0.2658380524550137, average_voltage=1.6103705480000026, capacity_grav=136.64835380139755, capacity_vol=541.9459443971273, energy_grav=220.0544843944548, energy_vol=872.7337874651807, fracA_charge=0.0, fracA_discharge=0.25, formula_charge='NbS2', formula_discharge='KNbS2', stability_charge=0.0, stability_discharge=0.008581753624999244, id_charge=MPID(mp-10033), id_discharge=MPID(mp-7938))]",136.6483538,220.0544844,541.9459444,872.7337875,1.610370548,mp-10033,mp-7938,Hexagonal,194,Hexagonal,194
